Year,Player,Australian Open,French Open,Wimbledon,US Open
2000,Roger Federer,0,0,0,0
2000,Rafael Nadal,0,0,0,0
2000,Novak Djokovic,0,0,0,0
2001,Roger Federer,0,0,0,0
2001,Rafael Nadal,0,0,0,0
2001,Novak Djokovic,0,0,0,0
2002,Roger Federer,0,0,0,0
2002,Rafael Nadal,0,0,0,0
2002,Novak Djokovic,0,0,0,0
2003,Roger Federer,0,0,1,0
2003,Rafael Nadal,0,0,0,0
2003,Novak Djokovic,0,0,0,0
2004,Roger Federer,1,0,2,1
2004,Rafael Nadal,0,0,0,0
2004,Novak Djokovic,0,0,0,0
2005,Roger Federer,1,0,3,2
2005,Rafael Nadal,0,1,0,0
2005,Novak Djokovic,0,0,0,0
2006,Roger Federer,2,0,4,3
2006,Rafael Nadal,0,2,0,0
2006,Novak Djokovic,0,0,0,0
2007,Roger Federer,3,0,5,4
2007,Rafael Nadal,0,3,0,0
2007,Novak Djokovic,0,0,0,0
2008,Roger Federer,3,0,5,5
2008,Rafael Nadal,0,4,1,0
2008,Novak Djokovic,1,0,0,0
2009,Roger Federer,3,1,6,5
2009,Rafael Nadal,1,4,1,0
2009,Novak Djokovic,1,0,0,0
2010,Roger Federer,4,1,6,5
2010,Rafael Nadal,1,5,2,1
2010,Novak Djokovic,1,0,0,0
2011,Roger Federer,4,1,6,5
2011,Rafael Nadal,1,6,2,1
2011,Novak Djokovic,2,0,1,1
2012,Roger Federer,4,1,7,5
2012,Rafael Nadal,1,7,2,1
2012,Novak Djokovic,3,0,1,1
2013,Roger Federer,4,1,7,5
2013,Rafael Nadal,1,8,2,2
2013,Novak Djokovic,4,0,1,1
2014,Roger Federer,4,1,7,5
2014,Rafael Nadal,1,9,2,2
2014,Novak Djokovic,4,0,2,1
2015,Roger Federer,4,1,7,5
2015,Rafael Nadal,1,9,2,2
2015,Novak Djokovic,5,0,3,2
2016,Roger Federer,4,1,7,5
2016,Rafael Nadal,1,9,2,2
2016,Novak Djokovic,6,1,3,2
2017,Roger Federer,5,1,8,5
2017,Rafael Nadal,1,10,2,3
2017,Novak Djokovic,6,1,3,2
2018,Roger Federer,6,1,8,5
2018,Rafael Nadal,1,11,2,3
2018,Novak Djokovic,6,1,4,3
2019,Roger Federer,6,1,8,5
2019,Rafael Nadal,1,12,2,4
2019,Novak Djokovic,7,1,5,3
2020,Roger Federer,6,1,8,5
2020,Rafael Nadal,1,13,2,4
2020,Novak Djokovic,8,1,5,3
2021,Roger Federer,6,1,8,5
2021,Rafael Nadal,1,13,2,4
2021,Novak Djokovic,9,2,6,3
2022,Roger Federer,6,1,8,5
2022,Rafael Nadal,2,14,2,4
2022,Novak Djokovic,9,2,7,3
2023,Roger Federer,6,1,8,5
2023,Rafael Nadal,2,14,2,4
2023,Novak Djokovic,10,3,7,4
2024,Roger Federer,6,1,8,5
2024,Rafael Nadal,2,14,2,4
2024,Novak Djokovic,10,3,7,4
