ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,Year,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,Unnamed: 0
1,Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,The Final,3.0,Hewitt L.,Enqvist T.,24,5,3.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chennai,Gold Flake Open,2000-01-03,International,Outdoor,Hard,The Final,3.0,Golmard J.,Hantschk M.,38,128,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Doha,Qatar Open,2000-01-03,International,Outdoor,Hard,The Final,3.0,Santoro F.,Schuettler R.,32,47,3.0,6.0,7.0,5.0,3.0,0.0,,,,,1.0,1.0,Retired,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,The Final,3.0,Norman M.,Chang M.,14,50,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,The Final,3.0,Hewitt L.,Stoltenberg J.,21,94,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,The Final,5.0,Agassi A.,Kafelnikov Y.,1,2,3.0,6.0,6.0,3.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dubai,Dubai Open,2000-02-07,International,Outdoor,Hard,The Final,3.0,Kiefer N.,Ferrero J.C.,4,39,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Marseille,Marseille Open,2000-02-07,International,Indoor,Hard,The Final,3.0,Rosset M.,Federer R.,77,67,2.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,San Jose,Sybase Open,2000-02-07,International,Indoor,Hard,The Final,3.0,Philippoussis M.,Tillstrom M.,17,79,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Memphis,Kroger St. Jude,2000-02-14,International Gold,Indoor,Hard,The Final,3.0,Larsson M.,Black B.,78,76,6.0,2.0,1.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rotterdam,ABN AMRO World Tennis Tournament,2000-02-14,International Gold,Indoor,Hard,The Final,3.0,Pioline C.,Henman T.,15,11,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,London,AXA Cup,2000-02-21,International Gold,Indoor,Hard,The Final,3.0,Rosset M.,Kafelnikov Y.,72,3,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mexico City,Mexican Open,2000-02-21,International Gold,Outdoor,Clay,The Final,3.0,Chela J.I.,Puerta M.,129,128,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
