Winner,Year,Wins
Acasuso J.,2002,1
Acasuso J.,2004,1
Acasuso J.,2006,1
Agassi A.,2000,1
Agassi A.,2001,4
Agassi A.,2002,5
Agassi A.,2003,4
Agassi A.,2004,1
Agassi A.,2005,1
Albot R.,2019,1
Alcaraz C.,2021,1
Alcaraz C.,2022,5
Alcaraz C.,2023,6
Alcaraz C.,2024,3
Almagro N.,2006,1
Almagro N.,2007,1
Almagro N.,2008,2
Almagro N.,2009,1
Almagro N.,2010,2
Almagro N.,2011,3
Almagro N.,2012,2
Almagro N.,2016,1
Ancic M.,2005,1
Ancic M.,2006,2
Anderson K.,2011,1
Anderson K.,2012,1
Anderson K.,2015,1
Anderson K.,2018,2
Anderson K.,2019,1
Anderson K.,2021,1
Andreev I.,2005,3
Andujar P.,2011,1
Andujar P.,2012,1
Andujar P.,2014,1
Andujar P.,2018,1
Arthurs W.,2005,1
Auger-Aliassime F.,2022,4
Auger-Aliassime F.,2023,1
Baez S.,2022,1
Baez S.,2023,3
Baez S.,2024,2
Baghdatis M.,2006,1
Baghdatis M.,2007,1
Baghdatis M.,2009,1
Baghdatis M.,2010,1
Balcells J.,2000,1
Basic M.,2018,1
Basilashvili N.,2018,2
Basilashvili N.,2019,1
Basilashvili N.,2021,2
Bautista Agut R.,2017,2
Bautista Agut R.,2018,2
Bautista Agut R.,2019,1
Bautista Agut R.,2022,2
Bautista R.,2014,2
Bautista R.,2016,2
Becker B.,2009,1
Bellucci T.,2009,1
Bellucci T.,2010,1
Bellucci T.,2012,1
Bellucci T.,2015,1
Berdych T.,2004,1
Berdych T.,2005,1
Berdych T.,2007,1
Berdych T.,2008,1
Berdych T.,2009,1
Berdych T.,2011,1
Berdych T.,2012,2
Berdych T.,2014,2
Berdych T.,2015,2
Berdych T.,2016,1
Berlocq C.,2013,1
Berlocq C.,2014,1
Berrettini M.,2018,1
Berrettini M.,2019,2
Berrettini M.,2021,2
Berrettini M.,2022,2
Berrettini M.,2024,3
Bjorkman J.,2002,1
Bjorkman J.,2005,1
Blake J.,2002,1
Blake J.,2005,2
Blake J.,2006,5
Blake J.,2007,2
Borges N.,2024,1
Boutter J.,2003,1
Bracciali D.,2006,1
Bublik A.,2022,1
Bublik A.,2023,2
Bublik A.,2024,1
Burgsmuller L.,2002,1
Cachin P.,2023,1
Calatrava A.,2000,1
Calleri A.,2003,1
